476118.0	False	3	1	Centrum	78
349000.0	False	5	0	4	103
390000.0	False	4	1	Naramowice	100
530000.0	True	4	3	Jeżyce	70
364000.0	False	5	0	4	126
294000.0	False	2	0	Grunwald	46
277806.0	False	2	1	Dolna	47
571229.15	False	2	4	Wilda	39
346777.0	False	3	1	Grunwald	10
279924.0	False	2	2	Dolna	2
304000.0	False	2	1	Wilda	95
604836.0	False	4	5	Grunwald	40
268229.0	False	2	1	Grunwald	90
325000.0	False	3	1	Grunwald	54
274200.0	False	2	0	Grunwald	57
333694.0	False	3	0	Podolany	38
249964.0	False	3	0	Nowe	41
833018.0	False	5	5	Dolna	31
399406.0	False	3	2	Wilda	89
277823.0	False	2	4	Podolany	70
427202.0	False	3	3	Dolna	79
242751.0	False	2	1	Wilda	40
324387.0	False	2	9	Grunwald	49
408707.0	False	3	1	Grunwald	13
656936.0	False	2	4	Wilda	29
275000.0	True	2	1	Sołacz	50
245000.0	True	2	0	Piątkowo	40
305000.0	True	2	0	Łazarz	60
861000.0	True	4	1	Łazarz	23
260000.0	True	2	0	MDM	80
319000.0	True	2	1	Grunwald	52
279000.0	True	2	2	Rataje	44
369000.0	True	2	2	Centrum	51
329000.0	True	2	3	Nowe	50
499000.0	True	3	1	Malta	50
439000.0	True	3	3	Piątkowo	70
220000.0	True	2	1	Jeżyce	60
411000.0	True	3	2	Winogrady	50
305000.0	True	2	1	Winiary	48
850000.0	True	10	0	Wola	400
235000.0	True	2	1	Nowe	47
419000.0	True	2	0	Malta	55
265000.0	True	3	10	Nowe	48
385000.0	True	2	2	Piątkowo	50
714000.0	True	3	2	Malta	84
289000.0	True	2	3	Winogrady	10
459000.0	True	2	3	Jeżyce	32
420000.0	True	3	1	Jeżyce	60
375000.0	True	3	3	Wilda	30
310000.0	True	4	1	Winogrady	90
306000.0	True	3	4	Grunwald	20
399000.0	True	3	0	Pokrzywno	90
355000.0	True	2	0	Podolany	93
415000.0	True	4	3	Jeżyce	78
350000.0	True	2	3	Grunwald	50
350000.0	True	3	0	Naramowickie	10
490000.0	True	4	1	Naramowice	99
289000.0	True	2	2	Jeżyce	54
360000.0	True	3	1	Sołacz	65
329000.0	True	2	3	Nowe	90
294990.0	True	2	4	Jeżyce	6
314990.0	True	2	4	Jeżyce	82
330000.0	True	2	3	Chwaliszewo	56
395000.0	True	3	3	Wilda	75
245000.0	True	2	2	Dębiec	45
229000.0	True	2	0	Bonin	80
247000.0	True	3	3	Grunwald	49
1650000.0	True	4	0	Jeżyce	158
400000.0	False	4	0	Grunwald	81
400000.0	False	4	0	Grunwald	60
239000.0	True	2	0	Rataje	36
350000.0	True	2	11	Rataje	45
270000.0	True	3	4	Rataje	20
265999.0	True	2	3	Grunwald	50
303867.0	False	2	2	Wilda	7
375000.0	True	3	3	Stare	50
299000.0	True	3	0	Podolany	94
385000.0	True	2	1	Rataje	48
249000.0	True	2	2	Grunwald	46
288000.0	True	3	4	Winogrady	30
332000.0	True	3	8	Rataje	63
